Song,Arranger,Voicing
Almost There,Aaron Dale,TTBB
Everybody Loves Somebody,Kohl Kitzmiller,TTBB
"Let's Burn Up the Town",Anthony Nasto,TTBB
"Song for Emily (As Long as I Got You)",Eric Ruthenberg,TTBB
Tell All the World About You,Kyle Snook,TTBB
Till There Was You,Robert Rund,TTBB
Why Try to Change Me Now?,Cay Outerbridge,TTBB
You Make Me Feel So Young,Mark Hale,TTBB
